PAIS;TABLA_STAGE;COLUMNA;TIPO_DATO_DESTINO;COLUMNA_DESTINO;LITERAL_DESTINO;FUNCION;ES_OBLIGATORIO;ES_FILTRO_FECHA
VE;M_ARTICULO;cod_compania;character varying;cod_compania;;;;
VE;M_ARTICULO;cod_articulo;integer;cod_articulo;;;;
VE;M_ARTICULO;cod_linea;character varying;cod_linea;;;;
VE;M_ARTICULO;cod_familia;character varying;cod_familia;;;;
VE;M_ARTICULO;cod_subfamilia;character varying;cod_subfamilia;;;;
VE;M_ARTICULO;cod_marca;character varying;cod_marca;;;;
VE;M_ARTICULO;cod_presentacion;character varying;cod_presentacion;;;;
VE;M_ARTICULO;cod_formato;character varying;cod_formato;;;;
VE;M_ARTICULO;cod_sabor;character varying;cod_sabor;;;;
VE;M_ARTICULO;cod_categoria;character varying;cod_categoria;;;;
VE;M_ARTICULO;;character varying;cod_color;NULL;;;
VE;M_ARTICULO;cod_gasificado;character varying;cod_gasificado;;;;
VE;M_ARTICULO;cod_light;character varying;cod_light;;;;
VE;M_ARTICULO;cod_tipo_envase;character varying;cod_tipo_envase;;;;
VE;M_ARTICULO;desc_articulo;character varying;descripcion1;;;;
VE;M_ARTICULO;unidad_manejo;character varying;unidad_manejo;;;;
VE;M_ARTICULO;unidad_compra;character varying;unidad_compra;;;;
VE;M_ARTICULO;unidad_peso;character varying;unidad_peso;;;;
VE;M_ARTICULO;unidad_volumen;character varying;unidad_volumen;;;;
VE;M_ARTICULO;es_activo;character varying;estado;;;;
VE;M_ARTICULO;cant_unidad_paquete;numeric;cant_contenido;;;;
VE;M_ARTICULO;cant_unidad_volumen;numeric;cantidad_total;;;;
VE;M_ARTICULO;cant_unidad_peso;numeric;cantidad_peso;;;;
VE;M_ARTICULO;;character varying;flgtipoenvase;NULL;;;
VE;M_ARTICULO;;numeric;articulo_envase;NULL;;;
VE;M_ARTICULO;;character varying;flgtipocomposicion;NULL;;;
VE;M_ARTICULO;cod_articulo_corp;integer;articulo_corp;;;;
VE;M_ARTICULO;desc_articulo_corp;character varying;descripcion_corp;;;;
VE;M_ARTICULO;cant_paquete_caja;smallint;paquete_por_caja;;;;
VE;M_ARTICULO;usuario_creacion;character varying;usuario_creacion;;;;
VE;M_ARTICULO;fecha_creacion;integer;fecha_creacion;;CONVERT_FECHA_BIGMAGIC;;
VE;M_ARTICULO;fecha_creacion;character varying;hora_creacion;;CONVERT_HORA_BIGMAGIC;;
VE;M_ARTICULO;usuario_modificacion;character varying;usuario_modificacion;;;;
VE;M_ARTICULO;fecha_modificacion;integer;fecha_modificacion;;CONVERT_FECHA_BIGMAGIC;;
VE;M_ARTICULO;fecha_modificacion;character varying;hora_modificacion;;CONVERT_HORA_BIGMAGIC;;
VE;M_ARTICULO;;smallint;flg_tipo_articulo;NULL;;;
VE;M_ARTICULO;;character varying;es_default;NULL;;;
VE;M_ARTICULO;desc_articulo_corto;character varying;descripcion2;;;;
VE;M_ARTICULO;;character varying;flg_preventa;NULL;;;
VE;M_ARTICULO;;character varying;flgabastec;NULL;;;
VE;M_ARTICULO;;character varying;flgskuplan;NULL;;;
VE;M_ARTICULO;cant_cajas_por_palet;numeric;cantidad_cajas_x_palet;;;;
VE;M_ARTICULO;cod_aroma;character varying;cod_aroma;;;;
VE;M_ARTICULO;es_explosion;character varying;flg_explosion;;;;
VE;M_ARTICULO;;character varying;flg_venta;NULL;;;
VE;M_ARTICULO;;double precision;qalto;NULL;;;
VE;M_ARTICULO;;double precision;qlargo;NULL;;;
VE;M_ARTICULO;cod_articulo_relacionado;integer;cod_articulo_relacionado;;;;
VE;M_ARTICULO;;numeric;cod_articulo_nac;NULL;;;
VE;M_ARTICULO;;character varying;tip_art_comercial;NULL;;;
VE;M_ARTICULO;;character varying;cod_enlace;NULL;;SI;
VE;M_ARTICULO;;character varying;cod_unidad_negocio;NULL;;SI;
VE;M_ARTICULO;unidad_volumen;numeric;cant_volumen;;;;
VE;M_ARTICULO;;character varying;cod_familia_produccion;NULL;;;
VE;T_DOCUMENTO_VENTA;cod_compania;character varying;cod_compania;;;;
VE;T_DOCUMENTO_VENTA;cod_sucursal;character varying;cod_sucursal;;;;
VE;T_DOCUMENTO_VENTA;cod_almacen;character varying;cod_almacen_emisor;;;;
VE;T_DOCUMENTO_VENTA;cod_documento_venta;character varying;cod_documento_transaccion;;;;
VE;T_DOCUMENTO_VENTA;nro_documento_venta;bigint;nro_comprobante_venta;;;;
VE;T_DOCUMENTO_VENTA;nro_serie;character varying;nro_serie;;;;
VE;T_DOCUMENTO_VENTA;cod_documento_pedido;character varying;cod_tipo_documento_pedido;;;;
VE;T_DOCUMENTO_VENTA;nro_documento_pedido;bigint;nro_documento_pedido;;;;
VE;T_DOCUMENTO_VENTA;cod_documento_almacen;character varying;cod_tipo_documento_almacen;;;;
VE;T_DOCUMENTO_VENTA;nro_documento_almacen;character varying;nro_documento_almacen;;;;
VE;T_DOCUMENTO_VENTA;fecha_emision;integer;fecha_emision;;CONVERT_FECHA_BIGMAGIC;;
VE;T_DOCUMENTO_VENTA;fecha_pedido;integer;fecha_pedido;;CONVERT_FECHA_BIGMAGIC;;
VE;T_DOCUMENTO_VENTA;fecha_liquidacion;integer;fecha_liquidacion;;CONVERT_FECHA_BIGMAGIC;;SI
VE;T_DOCUMENTO_VENTA;cod_comprobante_origen;character varying;cod_documento_transaccion_origen;;;;
VE;T_DOCUMENTO_VENTA;nro_comprobante_origen;bigint;nro_comprobante_origen;;;;
VE;T_DOCUMENTO_VENTA;cod_cliente;integer;cod_cliente;;;;
VE;T_DOCUMENTO_VENTA;cod_vendedor;integer;cod_vendedor;;;;
VE;T_DOCUMENTO_VENTA;cod_lista_precio;integer;cod_lista_precios;;;;
VE;T_DOCUMENTO_VENTA;cod_procedimiento;character varying;cod_procedimiento;;;;
VE;T_DOCUMENTO_VENTA;;numeric;total_cajas;NULL;;;
VE;T_DOCUMENTO_VENTA;;numeric;total_peso;NULL;;;
VE;T_DOCUMENTO_VENTA;;numeric;total_venta;NULL;;;
VE;T_DOCUMENTO_VENTA;;numeric;total_descuento;NULL;;;
VE;T_DOCUMENTO_VENTA;;numeric;total_imp_base_isc;NULL;;;
VE;T_DOCUMENTO_VENTA;;numeric;total_imp_isc;NULL;;;
VE;T_DOCUMENTO_VENTA;;numeric;importe_base_igv;NULL;;;
VE;T_DOCUMENTO_VENTA;;numeric;importe_igv;NULL;;;
VE;T_DOCUMENTO_VENTA;;numeric;importe_base_im3;NULL;;;
VE;T_DOCUMENTO_VENTA;;numeric;importe_im3;NULL;;;
VE;T_DOCUMENTO_VENTA;;numeric;importe_base_im4;NULL;;;
VE;T_DOCUMENTO_VENTA;;numeric;importe_im4;NULL;;;
VE;T_DOCUMENTO_VENTA;;numeric;importe_base_im5;NULL;;;
VE;T_DOCUMENTO_VENTA;;numeric;importe_im5;NULL;;;
VE;T_DOCUMENTO_VENTA;;numeric;importe_base_im6;NULL;;;
VE;T_DOCUMENTO_VENTA;;numeric;importe_im6;NULL;;;
VE;T_DOCUMENTO_VENTA;;numeric;importe_cobrar;NULL;;;
VE;T_DOCUMENTO_VENTA;cod_estado_comprobante;character varying;cod_estado_comprobante;;;;
VE;T_DOCUMENTO_VENTA;cod_zona;integer;cod_zona_distribucion;;;;
VE;T_DOCUMENTO_VENTA;cod_ruta;integer;cod_ruta_distribucion;;;;
VE;T_DOCUMENTO_VENTA;cod_modulo;integer;cod_modulo;;;;
VE;T_DOCUMENTO_VENTA;cod_supervisor;integer;cod_supervisor;;;;
VE;T_DOCUMENTO_VENTA;nro_comprobante;bigint;nro_comprobante;;;;
VE;T_DOCUMENTO_VENTA;cod_moneda;character varying;cod_moneda;;;;
VE;T_DOCUMENTO_VENTA;tipo_cambio_mn;numeric;tipo_cambio_mn;;;;
VE;T_DOCUMENTO_VENTA;tipo_cambio_me;numeric;tipo_cambio_me;;;;
VE;T_DOCUMENTO_VENTA;fecha_anulacion;integer;fecha_anulacion;;CONVERT_FECHA_BIGMAGIC;;
VE;T_DOCUMENTO_VENTA;cod_fuerza_venta;integer;cod_fuerza_venta;;;;
VE;T_DOCUMENTO_VENTA;;integer;fecha_proceso;NULL;GET_DATE;;
VE;T_DOCUMENTO_VENTA;usuario_creacion;character varying;usuario_creacion;;;;
VE;T_DOCUMENTO_VENTA;fecha_creacion;integer;fecha_creacion;;CONVERT_FECHA_BIGMAGIC;;
VE;T_DOCUMENTO_VENTA;fecha_creacion;character varying;hora_creacion;;;CONVERT_HORA_BIGMAGIC;;
VE;T_DOCUMENTO_VENTA;usuario_modificacion;character varying;usuario_modificacion;;;;
VE;T_DOCUMENTO_VENTA;fecha_modificacion;integer;fecha_modificacion;;CONVERT_FECHA_BIGMAGIC;;
VE;T_DOCUMENTO_VENTA;fecha_modificacion;character varying;hora_modificacion;;CONVERT_HORA_BIGMAGIC;;
VE;T_DOCUMENTO_VENTA;cod_motivo_rechazo;character varying;cod_motivo_rechazo;;;;
VE;T_DOCUMENTO_VENTA;cod_forma_pago;character varying;cod_forma_pago;;;;
VE;T_DOCUMENTO_VENTA;nro_preimpreso;character varying;nropricovt;;;;
VE;T_DOCUMENTO_VENTA;cod_documento_venta_referencia;character varying;docucomvta_ref;;;;
VE;T_DOCUMENTO_VENTA;nro_documento_venta_referencia;bigint;nrocomvta_ref;;;;
VE;T_DOCUMENTO_VENTA;;integer;nro_ejecucion;0;;;
VE;T_DOCUMENTO_VENTA;;numeric;importe_desnimp;NULL;;;
VE;T_DOCUMENTO_VENTA;;character varying;cod_canal;NULL;;Si;
VE;T_DOCUMENTO_VENTA;;character varying;flg_notfiscli;NULL;;;
VE;T_DOCUMENTO_VENTA;flg_facglob;character varying;flg_facglob;;;;
VE;T_DOCUMENTO_VENTA;flg_refact;character varying;flg_refact;;;;
VE;T_DOCUMENTO_VENTA;;character varying;cod_tipo_documento_pedido_ref;NULL;;Si;
VE;T_DOCUMENTO_VENTA;;character varying;nro_documento_pedido_ref;NULL;;Si;
