TARGET_TABLE_NAME,SOURCE_ENDPOINT,LOAD_TYPE,PROCESS_ID,SOURCE_TABLE
CONCREMAXREPLCS_FULL_DMS_ORDR,CONCREMAXREPLCS_FULL_DMS,incremental,10,ordr
CONCREMAXREPLCS_FULL_DMS_ORDL,CONCREMAXREPLCS_FULL_DMS,incremental,10,ordl
CONCREMAXREPLCS_FULL_DMS_TKTL,CONCREMAXREPLCS_FULL_DMS,incremental,10,tktl
CONCREMAXREPLCS_FULL_DMS_TICK,CONCREMAXREPLCS_FULL_DMS,incremental,10,tick
CONCREMAXREPLCS_FULL_DMS_PLNT,CONCREMAXREPLCS_FULL_DMS,incremental,10,plnt
CONCREMAXREPLCS_FULL_DMS_USGE,CONCREMAXREPLCS_FULL_DMS,incremental,10,usge
CONCREMAXREPLCS_FULL_DMS_SCHD,CONCREMAXREPLCS_FULL_DMS,incremental,10,schd
CONCREMAXREPLCS_FULL_DMS_ICAT,CONCREMAXREPLCS_FULL_DMS,incremental,10,icat
CONCREMAXREPLCS_FULL_DMS_PROJ,CONCREMAXREPLCS_FULL_DMS,incremental,10,proj
CONCREMAXREPLCS_FULL_DMS_COMP,CONCREMAXREPLCS_FULL_DMS,incremental,10,comp
CONCREMAXREPLCS_FULL_DMS_RSNC,CONCREMAXREPLCS_FULL_DMS,incremental,10,rsnc
CONCREMAX_FULL_DMS_SIS,CONCREMAX_FULL_DMS,incremental,10,sis
CONCREMAX_FULL_DMS_FAM,CONCREMAX_FULL_DMS,incremental,10,fam
CONCREMAX_FULL_DMS_PSP,CONCREMAX_FULL_DMS,incremental,10,psp
CONCREMAX_FULL_DMS_PAL,CONCREMAX_FULL_DMS,incremental,10,pal
CONCREMAX_FULL_DMS_PED,CONCREMAX_FULL_DMS,incremental,10,ped
CONCREMAX_FULL_DMS_TCOM_COSTO,CONCREMAX_FULL_DMS,incremental,10,tcom_costo
CONCREMAX_FULL_DMS_CLI,CONCREMAX_FULL_DMS,incremental,10,cli
CONCREMAX_FULL_DMS_DVT,CONCREMAX_FULL_DMS,incremental,10,dvt
CONCREMAX_FULL_DMS_GRE,CONCREMAX_FULL_DMS,incremental,10,gre
CONCREMAX_FULL_DMS_IPA,CONCREMAX_FULL_DMS,incremental,10,ipa
CONCREMAX_FULL_DMS_ART,CONCREMAX_FULL_DMS,incremental,10,art
CONCREMAX_FULL_DMS_BOM,CONCREMAX_FULL_DMS,incremental,10,bom
CONCREMAX_FULL_DMS_DAC,CONCREMAX_FULL_DMS,incremental,10,dac
CONCREMAX_FULL_DMS_EQU,CONCREMAX_FULL_DMS,incremental,10,equ
CONCREMAX_FULL_DMS_IGR,CONCREMAX_FULL_DMS,incremental,10,igr
CONCREMAX_FULL_DMS_OBR,CONCREMAX_FULL_DMS,incremental,10,obr
CONCREMAX_FULL_DMS_PREVTA,CONCREMAX_FULL_DMS,incremental,10,prevta
CONCREMAX_FULL_DMS_PTA,CONCREMAX_FULL_DMS,incremental,10,pta
CONCREMAX_FULL_DMS_TIR,CONCREMAX_FULL_DMS,incremental,10,tir
CONCREMAX_FULL_DMS_ACO,CONCREMAX_FULL_DMS,incremental,10,aco
CONCREMAX_FULL_DMS_DDV,CONCREMAX_FULL_DMS,incremental,10,ddv
CONCREMAX_FULL_DMS_DOV,CONCREMAX_FULL_DMS,incremental,10,dov
